학교명,학교급구분,소재지지번주소,위도,경도
과천여자고등학교,고등학교,경기도 과천시 중앙동 11,37.43238597,126.988584
일직중학교,중학교,경상북도 안동시 일직면 귀미리 1016-3,36.47137349,128.6642604
상명대학교사범대학부속여자고등학교,고등학교,서울특별시 종로구 홍지동 7-1,37.60334127,126.9536925
관동중학교,중학교,경상남도 김해시 관동동 422-1,35.18016669,128.7927184
월산중학교,중학교,경상남도 김해시 부곡동 806-10,35.20485642,128.8031292
율하중학교,중학교,경상남도 김해시 율하동 1293,35.17473289,128.8079042
용원중학교,중학교,경상남도 창원시 진해구 용원동 1231,35.10003481,128.818623
성복고등학교,고등학교,경기도 용인시 수지구 성복동 782,37.32329129,127.0611228
광영고등학교,고등학교,서울특별시 양천구 신월동 43-3,37.53760656,126.8241065
진남초등학교,초등학교,광주광역시 남구 노대동 732,35.10891738,126.9025323
천상초등학교,초등학교,울산광역시 울주군 범서읍 천상리 674,35.56112743,129.2211333
영신초등학교,초등학교,대구광역시 동구 봉무동 524,35.91956207,128.6457809
대구동산초등학교,초등학교,대구광역시 수성구 범어동 678-3,35.84931576,128.6278605
대구동문초등학교,초등학교,대구광역시 수성구 만촌동 262,35.87499675,128.651936
동평여자중학교,중학교,부산광역시 부산진구 부암동 450-1,35.1703496,129.042738
하남중앙초등학교,초등학교,광주광역시 광산구 월곡동 540,35.16835391,126.8053819
세명고등학교,고등학교,경상북도 포항시 남구 대잠동 913,36.01738334,129.3486246
영양여자고등학교,고등학교,경상북도 영양군 영양읍 동부리 5,36.66166725,129.1300539
이서고등학교,고등학교,경상북도 청도군 이서면 서원리 331-3,35.66228751,128.6697698
대구효목초등학교,초등학교,대구광역시 동구 효목동 633,35.87684905,128.6422813
한바다중학교,중학교,부산광역시 수영구 광안동 154-1,35.1570044,129.1182612
김해중학교,중학교,경상남도 김해시 부원동 39,35.23164274,128.8850429
서감초등학교,초등학교,부산광역시 사상구 감전동 122-1,35.15752091,128.9820552
정발고등학교,고등학교,경기도 고양시 일산동구 마두동 894,37.66347392,126.7856112
백마고등학교,고등학교,경기도 고양시 일산동구 백석동 1138,37.65150745,126.7943051
활천중학교,중학교,경상남도 김해시 지내동 15,35.23547333,128.9234945
경운중학교,중학교,경상남도 김해시 내동 1115-3,35.23571345,128.8618364
내동중학교,중학교,경상남도 김해시 내동 169,35.2413656,128.8578975
한얼중학교,중학교,경상남도 김해시 진영읍 여래리 479,35.30363425,128.7412771
함양제일고등학교,고등학교,경상남도 함양군 함양읍 교산리 210,35.52548949,127.7324411
성심여자중학교,중학교,서울특별시 용산구 원효로4가 1-1,37.53462316,126.9544511
방산중학교,중학교,서울특별시 송파구 방이동 220,37.5090712,127.1217525
오륜중학교,중학교,서울특별시 송파구 방이동 89-7,37.51606548,127.1387635
송산중학교,중학교,충청남도 당진시 송산면 도문리 169-1,36.93540954,126.6867303
휘경공업고등학교,고등학교,서울특별시 동대문구 휘경동 49-327,37.58521558,127.0700007
고명경영고등학교,고등학교,서울특별시 성북구 돈암동 45-88,37.59746161,127.0199462
송정서초등학교,초등학교,광주광역시 광산구 도산동 1008-3,35.12983302,126.7876528
송정중앙초등학교,초등학교,광주광역시 광산구 소촌동 321-1,35.14757991,126.7949735
금호중앙중학교,중학교,광주광역시 북구 운암동 140,35.17779883,126.8852718
산마을고등학교,고등학교,인천광역시 강화군 양도면 삼흥리 460,37.68667526,126.4254994
광주공업고등학교,고등학교,광주광역시 북구 매곡동 10,35.18965953,126.8966608
서생초등학교,초등학교,울산광역시 울주군 서생면 신암리 223,35.34924205,129.3270707
풍암중학교,중학교,광주광역시 서구 풍암동 1098,35.12225347,126.8780706
광주화정중학교,중학교,광주광역시 서구 화정동 647-7,35.14459268,126.8819585
광주효광중학교,중학교,광주광역시 서구 쌍촌동 1212,35.14679756,126.8632477
대구봉무초등학교,초등학교,대구광역시 동구 봉무동 1527,35.92572658,128.6374377
명덕초등학교,초등학교,울산광역시 동구 일산동 433,35.50601435,129.4242098
일산초등학교,초등학교,울산광역시 동구 일산동 452,35.50518008,129.4253884
매산초등학교,초등학교,울산광역시 북구 매곡동 334,35.64418712,129.3601539
동천초등학교,초등학교,울산광역시 북구 천곡동 381-4,35.63175943,129.341139
성산중학교,중학교,대구광역시 달서구 용산동 416-4,35.85647807,128.5186821
거제고등학교,고등학교,경상남도 거제시 아주동 295-8 거제고등학교,34.86065979,128.6870801
혜광고등학교,고등학교,부산광역시 중구 보수동1가 2-420,35.10930086,129.0255815
대구하빈초등학교,초등학교,대구광역시 달성군 하빈면 현내리 853,35.90145123,128.4426532
대구서부고등학교,고등학교,대구광역시 서구 평리동 1070-48,35.87393733,128.5599696
남성여자고등학교,고등학교,부산광역시 중구 대청동1가 10,35.10446354,129.0335352
경남고등학교,고등학교,부산광역시 서구 동대신동3가 1-28,35.12139822,129.0203756
시흥은행초등학교,초등학교,경기도 시흥시 은행동 545,37.4423639,126.8008635
시흥장현초등학교,초등학교,경기도 시흥시 장현동 169-6,37.38190086,126.7988337
대구서변초등학교,초등학교,대구광역시 북구 서변동 1749,35.92059525,128.5950136
대구학정초등학교,초등학교,대구광역시 북구 학정동 985,35.94834928,128.5677042
