관광지명,위도,경도,면적,수용인원수,제공기관명
공곶이,34.799856,128.714881,121521,1000,경상남도 거제시
김영삼전대통령생가,34.931361,128.715401,8420,500,경상남도 거제시
김영삼전대통령기록전시관,34.931361,128.715401,8420,500,경상남도 거제시
문동휴양지,34.859898,128.664057,7421.58,250,경상남도 거제시
바람의언덕,34.742161,128.662863,84953.21,3000,경상남도 거제시
우제봉전망대,34.732135,128.673659,220114.15,1000,경상남도 거제시
청마기념관,34.854804,128.517151,550.18,200,경상남도 거제시
씨월드,34.835581,128.701427,7696.89,300,경상남도 거제시
알로에테마파크,34.835506,128.560472,3219.1,500,경상남도 거제시
공룡박물관,34.797,126.402,332610,3000,전라남도 해남군
우장춘기념관,35.213515,129.0720181,1241,100,부산광역시 동래구
장영실과학동산,35.20916308,129.0896688,1177,10000,부산광역시 동래구
박차정의사생가,35.20169645,129.090397,379,50,부산광역시 동래구
금강공원,35.219909,129.076174,3093953,10000,부산광역시 동래구
허심청,35.221157,129.082701,4300,3000,부산광역시 동래구
복천박물관,35.20877662,129.091451,4000,1000,부산광역시 동래구
충렬사,35.199577,129.096107,95804,10000,부산광역시 동래구
해양자연사박물관,35.2219498,129.075647,21538,1000,부산광역시 동래구
은평역사한옥박물관,37.63978,126.93629,6530,300,서울특별시 은평구
금성당,37.63595,126.92435,2684,50,서울특별시 은평구
회산백련지,34.860212,126.530051,185316,2000,전라남도 무안군
변산해수욕장,35.680891,126.531837,0,0,전라북도 부안군
격포해수욕장,35.628064,126.471146,0,0,전라북도 부안군
위도해수욕장,35.605631,126.285031,0,0,전라북도 부안군
고사포해수욕장,35.664093,126.510431,0,0,전라북도 부안군
모항해수욕장,35.583335,126.508341,0,0,전라북도 부안군
